fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,idema,nombre_estacion
2023-06-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,2",11.0,"0,8","6,9",18:40,3194U,Ciudad Universitaria
2023-06-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,7",10.0,"1,4","11,4",18:30,3194U,Ciudad Universitaria
2023-06-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",10.0,"1,7","6,7",19:00,3194U,Ciudad Universitaria
2023-06-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",14.0,"1,1","7,8",17:00,3194U,Ciudad Universitaria
2023-06-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"2,1",14.0,"0,6","6,9",23:30,3194U,Ciudad Universitaria
2023-06-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"8,9",10.0,"1,7","9,4",01:30,3194U,Ciudad Universitaria
2023-06-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,0",23.0,"1,1","5,8",14:50,3194U,Ciudad Universitaria
2023-06-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",24.0,"3,3","10,0",16:30,3194U,Ciudad Universitaria
2023-06-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"2,2","8,1",15:50,3194U,Ciudad Universitaria
2023-06-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"2,2","10,3",14:50,3194U,Ciudad Universitaria
2023-06-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,4",24.0,"2,8","10,3",17:10,3194U,Ciudad Universitaria
2023-06-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"1,4","9,7",14:00,3194U,Ciudad Universitaria
2023-06-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",25.0,"0,8","5,8",10:20,3194U,Ciudad Universitaria
2023-06-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"0,6","6,1",00:30,3194U,Ciudad Universitaria
2023-06-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"1,9","6,7",01:20,3194U,Ciudad Universitaria
2023-06-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"3,3","11,7",16:10,3194U,Ciudad Universitaria
2023-06-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"2,3",11.0,"1,9","10,3",16:10,3194U,Ciudad Universitaria
2023-06-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,4",20.0,"1,9","8,9",18:10,3194U,Ciudad Universitaria
2023-06-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"1,9","9,7",10:50,3194U,Ciudad Universitaria
2023-06-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,2",9.0,"0,8","9,2",18:20,3194U,Ciudad Universitaria
2023-06-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"0,8","5,8",14:50,3194U,Ciudad Universitaria
2023-06-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"2,5","6,7",15:10,3194U,Ciudad Universitaria
2023-06-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99.0,"1,1","5,8",Varias,3194U,Ciudad Universitaria
2023-06-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"1,7","10,8",19:30,3194U,Ciudad Universitaria
2023-06-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"1,1","8,1",13:50,3194U,Ciudad Universitaria
2023-06-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"1,7","6,4",23:30,3194U,Ciudad Universitaria
2023-06-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"2,2","7,8",17:30,3194U,Ciudad Universitaria
2023-06-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",5.0,"2,8","13,6",22:50,3194U,Ciudad Universitaria
2023-06-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"2,5","13,1",00:10,3194U,Ciudad Universitaria
2023-07-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"1,7","9,2",23:10,3194U,Ciudad Universitaria
2023-07-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"2,2","9,4",04:00,3194U,Ciudad Universitaria
2023-07-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"3,3","13,3",12:30,3194U,Ciudad Universitaria
2023-07-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",27.0,"2,2","11,1",14:20,3194U,Ciudad Universitaria
2023-07-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"1,4","8,6",17:50,3194U,Ciudad Universitaria
